address,body,date_sent,is_spent
014263,Get Best Value for your Bike Exchange at www.exchangesky.com. Visit today to save Thousands,1507968758000,0
014361,WIN Dominar 400 bike by downloading mobile app AMBE BAJAJ by clicking: ?http://bit.ly/2vJbtb2. and forward this msg to 10 people/groups.T&c apply.,1504528666000,0
014459,Diwali Dhamaka! MANAPPURAM GOLD LOAN @1%* INTEREST per month & loan of Rs.2054/- per gm. Call 18004202233 or click this link https://goo.gl/YztNUe T&C apply.,1508576150000,0
014462,"AMBE BAJAJ Rs. 8000/- Cash Back & upto Rs. 30000/- gifts & much more on every Booking/Purchase. Hurry offer extended for first 100 customers. t&c Call 9958998282,41909090",1506853306000,0
014463,"Ambe Bajaj Offers closing on 26th. Cash Discount upto Rs. 2500/-, Finance Cash Back upto Rs. 4100/- model wise. Hurry!!! Limited Stock, Book Today. Call: 41909090, 9871396733",1511606921000,0
014661,"Bike Finance Made Easy with Time Savings. Fill Spot Finance online form at www.ambebajaj.com and speed up the approval process.Inform your friends and relatives about Easy Finance Process. Call: 9871396733, 01141909090",1503645318000,0
014863,"Khushio ki saugat AMBE BAJAJ ke sath. New CT-100 self start available at AMBE BAJAJ on EX-showroom price Rs. 41997/- Call: 9958998282, 01141909090",1503990138000,0
014864,"Khushio ki saugat AMBE BAJAJ ke sath. New CT-100 self start available at AMBE BAJAJ on EX-showroom price Rs. 41997/- Call: 9958998282, 01141909090",1503925641000,0
014864,"AMBE BAJAJ SUPER SAVING OFFER  UP TO RS. 4000/-. BOOK OR BUY BEFORE 31ST AUGUST. LIMITED STOCK OFFER.Call: 9958998282, 01141909090",1503925749000,0
017114,"Dear Customer, Ambe Bajaj Bumper 2017 Navratri Offers: Rs. 8000/- Cash Back Savings on every bike, Rs. 7000/- Down Payment Fin Scheme; 0%, 4.99% Schemes, Best Exchange Value, Free Gifts & much more. Best Offers in Delhi Market.Book at Rs. 1/- only or Buy today. Call: 9958998282,41909090. Download AMBE BAJAJ Mobile APP http://bit.ly/2vJbtb2 & win Dominar 400. t&c apply.",1505297634000,0
017116,"Dear AMBE BAJAJ Customer, Free Insurance on Bajaj Platina & Bajaj CT 100 ES/Alloy with saving upto Rs. 2000/- till Sunday 10th Sept. Additional savings of Rs. 6000/- Hurry!!! Cash Savings Total upto Rs. 8000/-. Additional Savings on Finance too !!!Call: 9958998282,41909090",1504949548000,0
017251,"Dear AMBE BAJAJ Customer, Free Insurance on Bajaj Platina & Bajaj CT 100 ES/Alloy with saving upto Rs. 2000/- till Sunday 10th Sept. Additional savings of Rs. 6000/- Hurry!!! Cash Savings Total upto Rs. 8000/-. Additional Savings on Finance too !!!Call: 9958998282,41909090",1505019605000,0
020001,Get a 5% cashback & INR750 luxehues.com cash voucher on your HYD duty free purchase only with your SBI Card. Offer valid till 30th Sep'17.T&C apply,1504097997000,0
020001,Get Rs.1000 Off on Round Trip & Rs.500 Off on one way Domestic Flight bookings at Yatra with SBI Credit Card.Use Promo Code: YTSBI2017.Validity:19-23 Sep'17.T&C,1505798941000,0
020001,"Get 10% Off at Flipkart on Fashion,TV&Appliances,Home&Furniture categories with SBI Credit Card. Min. trxn:Rs.1500; Max. Discount:Rs.1500. Valid on 20Sep'17.T&C",1505883204000,0
020001,Introducing Bharat QR payments on SBI Card App! Just scan the Bharat QR code with App at online/retail stores. Download/Update App: http://bit.ly/SBI_App,1506065278000,0
020001,Transfer balance from other credit cards to SBI Card & continue enjoying interest free period upto 50 days on retail txn. Repay in EMIs. Call 18601801290 or SMS BTEMI to 56767. T&C apply.,1506581163000,0
020001,"This Festive Season, get 5% Cashback on BATA, MAX, Reliance Trends & Pantaloons with your SBI Credit Card. For details, click bit.ly/sbicardfestive T&C",1506750753000,0
020001,"This Festive Season, get 5% Cashback on Hometown, Max, Pantaloons, Trends & Urban Ladder with your SBI Credit Card.For details,click bit.ly/sbicardfestive .T&C",1507358870000,0
020001,10% Off on International Flights at MakeMyTrip with SBI Card.Max Discount : Rs 10000 per card.Promo Code:MMTSBI.Validity:9-10 Oct'17.Also valid on EMI trxns.T&C,1507527893000,0
020001,Transfer balance from other credit cards to SBI Card & continue enjoying interest free period upto 50 days on retail txn. Repay in EMIs. Call 18601801290 or SMS BTEMI to 56767. T&C apply.,1507713814000,0
020001,Get extra 5% Cashback at Reliance Fresh with SBI Credit Card. Min. trxn: Rs. 2500; Max. Cashback: Rs. 750 per card account. Validity: 14- 19 Oct'17. T&C,1508042825000,0
020001,"Get 5%Cashback at Star Bazaar with your SBI Card. Min. trxn:Rs2500;Max. Cashback:Rs500 per card account.Validity: 03-05Nov'17.For details, visit sbicard.com.T&C",1509699914000,0
020001,"Dear SBI Cardholder, we invite you & your family to Mumbai Comic Con-India's biggest pop-culture event, to meet popular stand-up comedians, comic book writers & much more on 11-12 Nov '17,11 a.m. onwards at Bombay Exhibition Center,Goregoan(E). Get 25% off on tickets booked with SBI Card by visiting bit.ly/sbicMcon. T&C",1509976979000,0
020001,Get extra 10% Cashback at Bigbasket.com with SBI Credit Card. Min. trxn: Rs. 1500; Max. Cashback: Rs. 300 per card account. Validity: 06- 08 Nov '17. T&C Apply,1510058887000,0
020001,"Dear SBI Cardholder, we invite you & your family to Mumbai Comic Con-India's biggest pop-culture event, to meet popular stand-up comedians, comic book writers & much more on 11-12 Nov '17,11 a.m. onwards at Bombay Exhibition Center,Goregoan(E). Get 25% off on tickets booked with SBI Card by visiting bit.ly/sbicMcon. T&C",1510371537000,0
020001,Get extra 5% Cashback at Vishal MegaMart with SBI Credit Card. Min. trxn: Rs. 2500; Max. Cashback: Rs. 500 per card account. Validity: 24- 26 Nov '17.T&C Apply,1511530348000,0
020055,Jaiib Single Mock @30 Rs. 15 Mocks combo pack @300Rs. Practice and crack JAIIB exam. http://jaiibcaiibmock.com/,1510056735000,0
021021,"This Festive Season, Top 20 spenders (per week) on SBI Card will win MI Max 2 smartphone. Validity: 27 Sep - 26 Oct'17. T&C. Visit: bit.ly/sbicardfestive",1507713796000,0
021021,"Big festive spends made smaller with Flexipay EMIs @low interest rate of 7.5% pa.100% Processing Fee waiver for bookings>50k till 19 Oct'17.To book, click sbicard.com/b/AKH8Ay3Szr5 or call 18601801290. T&C - SBI Card",1507873735000,0
021021,"This Festive Season, get 5% Cashback on Oppo Mobiles, Reliance Digital & Samsung Electronics with your SBI Card. To know more, visit: bit.ly/sbicardfestive. T&C",1507974311000,0
021021,"This Festive Season, get 5% Cashback on Hometown, Max, Pantaloons, Trends & Urban Ladder with your SBI Credit Card.For details,click bit.ly/sbicardfestive .T&C",1508061372000,0
021021,"This Festive Season, get 5% Cashback on HomeTown, MAX, Oppo Mobiles, Reliance Digital, Reliance Trends, Pantaloons & Urban Ladder with your SBI Credit Card. T&C",1508240660000,0
021021,Convert your trxn of Rs. 3660 done on 14-OCT'17 into Flexipay EMIs @7.5% pa.100% Processing Fee waiver for bookings >50k till 19Oct'17. Click sbicard.com/b/AKH8Ay3Szr5 or Call 18601801290 or SMS FP to 56767 for a call back. T&C Apply - SBI Card,1508244322000,0
021021,"Big festive spends made smaller with Flexipay EMIs @low interest rate of 7.5% pa.100% Processing Fee waiver for bookings>25k till 31 Oct'17.To book, click sbicard.com/b/8SHBpJ3f1Me or call 18601801290.T&C-SBI Card",1508763698000,0
021021,Convert your trxn of Rs. 3660 done on 14-OCT'17 into Flexipay EMIs @7.5% pa.100% Processing Fee waiver for bookings >25k till 31Oct'17. Click sbicard.com/b/8SHBpJ3f1Me or Call 18601801290 or SMS FP to 56767 for a call back. T&C Apply - SBI Card,1508835416000,0
021021,Bajaj Finserv:Get Assured MakeMyTrip Voucher on purchase of Electronics with your pre-approved loan of 35000. Valid-31OCT  Give MissedCall to 9266012012 T&C,1509605730000,0
021021,Enjoy Rs. 1000 Instant Discount on Domestic Flights Round Trip at goibibo with your SBI Credit Card.Use promo code: PAYDAY. Validity: 02 - 04 Nov '17.T&C Apply,1509607028000,0
021021,"5%Cashback on Holidays at Yatra.com&Yatra App with SBI Card.Min trxn:Rs.30,000;Max Cashback:Rs.3000 per card a/c.Validity:6-10Nov'17.Also valid on EMI trxns.T&C",1510036109000,0
021021,Marks & Spencer's SALE! FLAT 50%+ EXTRA 10% OFF ONLY FOR YOU on sale items.Use code 1695301146749! 10-12 Nov ONLY! Adnl 10% cashback on AxisBank &HSBC cards.T&C,1510291359000,0
021021,"Godrej Nest: Visit our site on 18th & 19th November for Exclusive Offers of Up-to Rs.12 Lakh at Sector 150, Noida. Call 9223074751. RERA no.UPRERAPRJ13521.",1510827625000,0
021421,"PIZZA HUT gives you 100% Taste at 50% OFF  
when you buy 2 Medium Pan Pizzas
Valid on Call 011-39883988 & Online http://vls.bz/Dd3IYz54yKF",1503734689000,0
025864,"AMBE BAJAJ SUPER SAVING OFFER  UP TO RS. 4000/-. BOOK OR BUY BEFORE 31ST AUGUST. LIMITED STOCK OFFER.Call: 9958998282, 01141909090",1503999017000,0
025864,WIN Dominar 400 bike by downloading mobile app AMBE BAJAJ by clicking: ?http://bit.ly/2vJbtb2. and forward this msg to 10 people/groups.T&c apply.,1504529087000,0
025964,"Ambe Bajaj Par Sabse Sasti Bikes & Sabse Sasti Finance Schemes . Save up to Rs. 4000/- limited period offer Hurry !!! Call: 9871396733, 01141909090",1503314139000,0
